#description: MAxO/HPO curation file: diagnostic observability of HPO terms
#version: 2023-06-11
hpo_id	hpo_label	predicate_id	maxo_id	maxo_label	creator_id
HP:0003784	Type 1 collagen overmodification	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
HP:0002450	Abnormal motor neuron morphology	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
HP:0025181	Abdominal aseptic abscess	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
HP:0001194	Abnormalities of placenta or umbilical cord	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
HP:0001197	Abnormality of prenatal development or birth	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
HP:0025155	Abnormality of hepatobiliary system physiology	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
HP:0410169	Abnormal morphology of the shoulder musculature	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
HP:0410210	Abnormal cord blood measurement	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
HP:0001293	Cranial nerve compression	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
HP:0001291	Abnormal cranial nerve morphology	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
HP:0001273	Abnormal corpus callosum morphology	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
HP:0025231	Abnormal synovial bursa morphology	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
HP:0002585	Abnormality of the peritoneum	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
HP:0002579	Gastrointestinal dysmotility	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
HP:0002577	Abnormal stomach morphology	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
HP:0002597	Abnormality of the vasculature	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
HP:0002589	Gastrointestinal atresia	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
HP:0025270	Abnormal esophagus physiology	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
HP:0025354	Abnormal cellular phenotype	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
HP:0002693	Abnormality of the skull base	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
HP:0003942	Synovial chondromatosis of the elbow	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
HP:0025463	Abnormality of redox activity	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
HP:0002733	Abnormality of the lymph nodes	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
HP:0003347	Impaired lymphocyte transformation with phytohemagglutinin	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
HP:0003358	Elevated intracellular cystine	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
HP:0003398	Abnormal synaptic transmission at the neuromuscular junction	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
HP:0003575	Increased intracellular sodium	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
HP:0100727	Histiocytosis	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
HP:0003287	Abnormality of mitochondrial metabolism	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
HP:0030059	Mitochondrial depletion	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
HP:0003288	Mitochondrial propionyl-CoA carboxylase defect	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
HP:0008314	Decreased activity of mitochondrial complex II	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
HP:0008316	Abnormal mitochondria in muscle tissue	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
HP:0008347	Decreased activity of mitochondrial complex IV	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
HP:0011922	Abnormal activity of mitochondrial respiratory chain	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
HP:0011923	Decreased activity of mitochondrial complex I	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
HP:0011924	Decreased activity of mitochondrial complex III	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
HP:0011925	Decreased activity of mitochondrial ATP synthase complex	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
HP:0003232	Mitochondrial malic enzyme reduced	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
HP:0002928	Decreased activity of the pyruvate dehydrogenase complex	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
HP:0008972	Decreased activity of mitochondrial respiratory chain	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
HP:0008306	Abnormal iron deposition in mitochondria	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
HP:0040015	Increased activity of mitochondrial respiratory chain	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
HP:0008265	Mitochondrial lysine transport defect	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
HP:0200125	Mitochondrial respiratory chain defects	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
HP:0003647	Electron transfer flavoprotein-ubiquinone oxidoreductase defect	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
HP:0003514	Deficiency or absence of cytochrome b(-245)	is_observable_through	MAXO:0000001	medical action	ORCID:0000-0002-0736-9199
